activity_zone_id,name,centroid_x,centroid_y,geometry,centroid,poi_count,total_production,total_attraction
22,E2,-112.08854913636364,33.44703852272727,"POLYGON ((-112.0977863 33.44429000000001,-112.0977863 33.44903000000001,-112.0805963 33.44903000000001,-112.0805963 33.44429000000001,-112.0977863 33.44429000000001))",POINT (-112.08854913636364 33.44703852272727),246,4831.329719594074,7302.869484531273
23,E3,-112.0743468558974,33.447022809743544,"POLYGON ((-112.0805963 33.44429000000001,-112.0805963 33.44903000000001,-112.0634063 33.44903000000001,-112.0634063 33.44429000000001,-112.0805963 33.44429000000001))",POINT (-112.0743468558974 33.447022809743544),312,6048.323439579545,12603.867446046412
24,E4,-112.05457398601044,33.447249482901555,"POLYGON ((-112.0634063 33.44429000000001,-112.0634063 33.44903000000001,-112.0462163 33.44903000000001,-112.0462163 33.44429000000001,-112.0634063 33.44429000000001))",POINT (-112.05457398601044 33.447249482901555),324,2887.4720835075177,5809.636498994483
25,E5,-112.03813715555556,33.44698029259257,"POLYGON ((-112.0462163 33.44429000000001,-112.0462163 33.44903000000001,-112.0290263 33.44903000000001,-112.0290263 33.44429000000001,-112.0462163 33.44429000000001))",POINT (-112.03813715555556 33.44698029259257),150,1951.3511744476816,2066.879277546767
26,Gate1,-112.1235713,33.44666,,POINT (-112.1235713 33.44666),0,0.0,0.0
27,Gate2,-112.1235713,33.4514,,POINT (-112.1235713 33.4514),0,10000.0,10000.0
28,Gate3,-112.1235713,33.456140000000005,,POINT (-112.1235713 33.456140000000005),0,0.0,0.0
29,Gate4,-112.1235713,33.46088,,POINT (-112.1235713 33.46088),0,6000.0,6000.0
30,Gate5,-112.1235713,33.46562,,POINT (-112.1235713 33.46562),0,0.0,0.0
31,Gate6,-112.1063813,33.470360299999996,,POINT (-112.1063813 33.470360299999996),0,18000.0,18000.0
32,Gate7,-112.0891913,33.470360299999996,,POINT (-112.0891913 33.470360299999996),0,16000.0,16000.0
33,Gate8,-112.0720013,33.470360299999996,,POINT (-112.0720013 33.470360299999996),0,2000.0,2000.0
34,Gate9,-112.0548113,33.470360299999996,,POINT (-112.0548113 33.470360299999996),0,16000.0,16000.0
35,Gate10,-112.0376213,33.470360299999996,,POINT (-112.0376213 33.470360299999996),0,12000.0,12000.0
36,Gate11,-112.020435,33.4656203,,POINT (-112.020435 33.4656203),0,2000.0,2000.0
37,Gate12,-112.020435,33.4608803,,POINT (-112.020435 33.4608803),0,20000.0,20000.0
38,Gate13,-112.020435,33.456140299999994,,POINT (-112.020435 33.456140299999994),0,14000.0,14000.0
39,Gate14,-112.020435,33.451400299999996,,POINT (-112.020435 33.451400299999996),0,4000.0,4000.0
40,Gate15,-112.020435,33.4466603,,POINT (-112.020435 33.4466603),0,12000.0,12000.0
41,Gate16,-112.037625,33.44192,,POINT (-112.037625 33.44192),0,34000.0,34000.0
42,Gate17,-112.054815,33.44192,,POINT (-112.054815 33.44192),0,10000.0,10000.0
43,Gate18,-112.072005,33.44192,,POINT (-112.072005 33.44192),0,10000.0,10000.0
44,Gate19,-112.089195,33.44192,,POINT (-112.089195 33.44192),0,4000.0,4000.0
45,Gate20,-112.106385,33.44192,,POINT (-112.106385 33.44192),0,10000.0,10000.0
