name,link_id,from_node_id,to_node_id,facility_type,dir_flag,length,lanes,capacity,free_speed,link_type_name,link_type,cost,geometry,TMC
,92,65,66,,,110.03310310820815,1,nan,46.67086,residential,6,,"LINESTRING (-112.03024 33.46705,-112.03134 33.46705,-112.03142 33.46703)",
,93,66,65,,,107.55777079978081,1,nan,46.67086,residential,6,,"LINESTRING (-112.0314 33.46697,-112.03133 33.46699,-112.03024 33.46699)",
,94,90,89,,,31.584366579926993,1,nan,40.2335,residential,6,,"LINESTRING (-112.05648 33.46126,-112.05646 33.46117,-112.05646 33.46098)",
,95,89,90,,,32.798204347908964,1,nan,40.2335,residential,6,,"LINESTRING (-112.05639 33.46098,-112.05638 33.46117,-112.0564 33.46127)",
,96,89,772,,,103.03993260115683,1,nan,40.2335,residential,6,,"LINESTRING (-112.05646 33.46098,-112.05647 33.46049,-112.05648 33.46005)",
,97,772,89,,,103.04991300408929,1,nan,40.2335,residential,6,,"LINESTRING (-112.05641 33.46005,-112.0564 33.46049,-112.05639 33.46098)",
,98,772,88,,,13.647917250044053,1,nan,40.2335,residential,6,,"LINESTRING (-112.05648 33.46005,-112.05648 33.45993)",
,99,88,772,,,13.647917250044053,1,nan,40.2335,residential,6,,"LINESTRING (-112.05641 33.45993,-112.05641 33.46005)",
,100,88,87,,,41.07660868547468,1,nan,40.2335,residential,6,,"LINESTRING (-112.05648 33.45993,-112.05648 33.45976,-112.05648 33.45956)",
,101,87,88,,,41.121832887292115,1,nan,40.2335,residential,6,,"LINESTRING (-112.05641 33.45956,-112.05641 33.45976,-112.05641 33.45993)",
,102,87,86,,,31.841485082615208,1,nan,40.2335,residential,6,,"LINESTRING (-112.05648 33.45956,-112.05648 33.45927)",
,103,86,87,,,31.841485082615208,1,nan,40.2335,residential,6,,"LINESTRING (-112.05641 33.45927,-112.05641 33.45956)",
,104,86,85,,,65.53456953446464,1,nan,40.2335,residential,6,,"LINESTRING (-112.05648 33.45927,-112.05648 33.45914,-112.05649 33.45868)",
,105,85,86,,,65.53456108546882,1,nan,40.2335,residential,6,,"LINESTRING (-112.05641 33.45868,-112.05641 33.45913,-112.05641 33.45927)",
,106,85,84,,,105.03509605288127,1,nan,40.2335,residential,6,,"LINESTRING (-112.05649 33.45868,-112.05649 33.4583,-112.05649 33.45822,-112.05649 33.45773)",
,107,84,85,,,105.03855507837795,1,nan,40.2335,residential,6,,"LINESTRING (-112.05641 33.45773,-112.05641 33.45821,-112.05641 33.4583,-112.05641 33.45868)",
,108,84,83,,,106.64476574249191,1,nan,40.2335,residential,6,,"LINESTRING (-112.05649 33.45773,-112.05649 33.45726,-112.05649 33.45677)",
,109,83,84,,,106.64432072355385,1,nan,40.2335,residential,6,,"LINESTRING (-112.05642 33.45677,-112.05641 33.45726,-112.05641 33.45773)",
,110,83,82,,,106.31270228364899,1,nan,40.2335,residential,6,,"LINESTRING (-112.05649 33.45677,-112.05649 33.45629,-112.05649 33.45581)",
,111,82,83,,,106.3110972927278,1,nan,40.2335,residential,6,,"LINESTRING (-112.05642 33.45581,-112.05642 33.45629,-112.05642 33.45677)",
,112,82,81,,,107.39498584867036,1,nan,40.2335,residential,6,,"LINESTRING (-112.05649 33.45581,-112.0565 33.45532,-112.05651 33.45484)",
,113,81,82,,,107.39538507314087,1,nan,40.2335,residential,6,,"LINESTRING (-112.05643 33.45484,-112.05643 33.45532,-112.05642 33.45581)",
,114,81,80,,,108.40198990293663,1,nan,40.2335,residential,6,,"LINESTRING (-112.05651 33.45484,-112.0565 33.45435,-112.0565 33.45386)",
,115,80,81,,,108.53870942168214,1,nan,40.2335,residential,6,,"LINESTRING (-112.05642 33.45386,-112.05642 33.45435,-112.05643 33.45484)",
,116,93,94,,,171.60690448363943,1,nan,40.2335,residential,6,,"LINESTRING (-112.0559 33.45136,-112.0559 33.4515,-112.05591 33.45185,-112.05591 33.45201,-112.05591 33.45214,-112.05592 33.45291)",
,117,94,93,,,171.66032217692685,1,nan,40.2335,residential,6,,"LINESTRING (-112.05599 33.45291,-112.05598 33.45214,-112.05598 33.45201,-112.05598 33.45184,-112.05598 33.4515,-112.05597 33.45136)",
,118,94,95,,,106.13419844225471,1,nan,40.2335,residential,6,,"LINESTRING (-112.05592 33.45291,-112.05592 33.45386)",
,119,95,94,,,106.13419844225471,1,nan,40.2335,residential,6,,"LINESTRING (-112.056 33.45386,-112.05599 33.45291)",
,120,1225,96,,,59.50399174939893,1,nan,46.67086,residential,6,,"LINESTRING (-112.0564 33.44888,-112.0564 33.44909,-112.0564 33.44917,-112.05639 33.44941)",
